POÇO ANP;BLOCO;BACIA;BACIAS AGRUPADAS;ESTADO;AMBIENTE;OPERADOR;INÍCIO DA PERFURAÇÃO;CONCLUSÃO DO POÇO;PROFUNDIDADE FINAL (m);ATINGIU PRÉ-SAL?;NOTIFICAÇÃO DE DESCOBERTA ?;DATA DA 1ª DESCOBERTA;FLUIDO NOTIFICAÇÃO DESCOBERTA
1-STAR-23-ES;ES-T-410;Espírito Santo;Maduras;ES;TERRA;SHB;07/11/2011;23/11/2011;1510;Não;Não;;
3-OGX-65D-RJS;C-M-592;Campos;Margem Leste;RJ;MAR;PRIO;22/10/2011;23/11/2011;3879;Não;Sim;21/11/2011;Petróleo
3-BP-4-ESS;C-M-61;Campos;Margem Leste;ES;MAR;BP Energy;17/07/2011;27/11/2011;4877;Sim;Sim;03/11/2011;Petróleo
1-BRSA-1009-RN;POT-T-560;Potiguar;Maduras;RN;TERRA;Petrobras;12/11/2011;28/11/2011;1186;Não;Não;;
3-OGX-67-RJS;C-M-499;Campos;Margem Leste;RJ;MAR;PRIO;04/11/2011;28/11/2011;2490;Não;Não;;
4-BRSA-1002-SPS;S-M-1289;Santos;Margem Leste;SP;MAR;Petrobras;25/10/2011;01/12/2011;2265;Não;Sim;21/11/2011;Petróleo
1-BRSA-985-AM;SOL-T-193;Solimões;Nova Fronteira;AM;TERRA;Petrobras;21/09/2011;02/12/2011;2600;Não;Sim;20/12/2011;Petróleo
1-PTRA-1-MG;SF-T-128;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;25/06/2011;14/12/2011;1536;Não;Sim;23/07/2011;Gás
1-BRSA-961-AM;SOL-T-171;Solimões;Nova Fronteira;AM;TERRA;Petrobras;20/07/2011;15/12/2011;3290;Não;Sim;19/10/2011;Gás
1-ONGC-1-PRS;S-M-1413;Santos;Margem Leste;PR;MAR;ONGC Campos;19/04/2011;20/12/2011;5528;Não;Não;;
1-PERN-1-ESS;ES-M-416;Espírito Santo;Margem Leste;ES;MAR;Perenco Brasil;06/11/2011;24/12/2011;4894;Não;Não;;
3-OGX-69-RJS;C-M-592;Campos;Margem Leste;RJ;MAR;PRIO;30/11/2011;25/12/2011;3302;Não;Sim;20/12/2011;Petróleo
1-GTE-2-BA;REC-T-129;Recôncavo;Maduras;BA;TERRA;SPE Tiêta;23/11/2011;28/12/2011;2084;Não;Não;;
1-BP-5-RJS;C-M-473;Campos;Margem Leste;RJ;MAR;BP Energy;02/12/2011;02/01/2012;3860;Não;Não;;
1-GALP-40-RN;POT-T-563;Potiguar;Maduras;RN;TERRA;Petrogal Brasil;10/12/2011;03/01/2012;1704;Não;Sim;31/12/2011;Petróleo
1-HRT-4-AM;SOL-T-194;Solimões;Nova Fronteira;AM;TERRA;Prio Comercial.;11/08/2011;03/01/2012;2806;Não;Sim;07/11/2011;Gás e Petróleo
1-BRSA-1000-RN;POT-T-610;Potiguar;Maduras;RN;TERRA;Petrobras;21/10/2011;05/01/2012;1374;Não;Sim;04/11/2011;Gás e Petróleo
1-STAR-22-RJS;C-M-622;Campos;Margem Leste;RJ;MAR;SHB;14/09/2011;05/01/2012;4281;Não;Sim;24/11/2011;Gás e Petróleo
3-BRSA-1012-RJS;C-M-401;Campos;Margem Leste;RJ;MAR;Petrobras;25/11/2011;13/01/2012;3133;Não;Não;;
3-BRSA-1024-SPS;S-M-1289;Santos;Margem Leste;SP;MAR;Petrobras;07/12/2011;13/01/2012;2160;Não;Sim;30/12/2011;Petróleo
3-GTE-3D-BA;REC-T-155;Recôncavo;Maduras;BA;TERRA;SPE Tiêta;01/12/2011;14/01/2012;2273;Não;Sim;10/01/2012;Petróleo
3-OGX-70-RJS;C-M-592;Campos;Margem Leste;RJ;MAR;PRIO;16/12/2011;18/01/2012;3126;Não;Não;;
3-OGX-71-RJS;C-M-499;Campos;Margem Leste;RJ;MAR;PRIO;02/01/2012;26/01/2012;2300;Não;Não;;
3-APL-5D-RJS;C-M-202;Campos;Margem Leste;RJ;MAR;Anadarko;07/11/2011;27/01/2012;4645;Sim;Sim;20/01/2012;Petróleo
1-SHEL-26-RJS;S-M-518;Santos;Margem Leste;RJ;MAR;Shell Brasil;18/10/2011;28/01/2012;5630;Sim;Sim;11/01/2012;Petróleo
1-GALP-41-RN;POT-T-608;Potiguar;Maduras;RN;TERRA;Petrogal Brasil;11/01/2012;05/02/2012;1643;Não;Sim;02/02/2012;Petróleo
1-BRSA-984-AM;SOL-T-171;Solimões;Nova Fronteira;AM;TERRA;Petrobras;20/09/2011;10/02/2012;2885;Não;Sim;20/12/2011;Gás
3-BRSA-1010HP-RJS;C-M-95;Campos;Margem Leste;RJ;MAR;Petrobras;22/11/2011;11/02/2012;3593;Não;Sim;02/01/2012;Gás
1-BRSA-1006-RN;POT-T-610;Potiguar;Maduras;RN;TERRA;Petrobras;04/11/2011;13/02/2012;1930;Não;Sim;26/11/2011;Petróleo
3-GTE-4D-BA;REC-T-155;Recôncavo;Maduras;BA;TERRA;SPE Tiêta;08/01/2012;16/02/2012;;Não;Não;;
1-BRSA-1038-RN;POT-T-609;Potiguar;Maduras;RN;TERRA;Petrobras;10/01/2012;20/02/2012;1707;Não;Sim;26/01/2012;Petróleo
1-BRSA-1042D-RN;POT-T-560;Potiguar;Maduras;RN;TERRA;Petrobras;01/02/2012;23/02/2012;1558;Não;Não;;
1-BRSA-1046D-BA;REC-T-235;Recôncavo;Maduras;BA;TERRA;Petrobras;10/02/2012;23/02/2012;1176;Não;Não;;
3-OGX-73-RJS;C-M-592;Campos;Margem Leste;RJ;MAR;PRIO;28/01/2012;23/02/2012;3240;Não;Sim;18/02/2012;Petróleo
1-PERN-2-ESS;ES-M-418;Espírito Santo;Margem Leste;ES;MAR;Perenco Brasil;27/12/2011;25/02/2012;5100;Não;Não;;
