Nome_poço_anp,Nome_poço_operador,Campo,Bacia,Operador_atual,Operador_epoca,Ambiente,Sonda,Objetivo,Data_início,Data_término,Dias_em_intervenção
1-AG-1-SE,1AG  0001  SE,AGUILHADA,SERGIPE,CARMO,CARMO,TERRA,SONDA DE PRODUÇÃO TERRESTRE 28,Abandono,11/03/2026,16/03/2026,6
1-ALG-1-RN,1ALG 0001  RN,ALTO ALEGRE,POTIGUAR,PETRO-VICTORY,PETRO-VICTORY,TERRA,DK-01,Completação,10/06/2025,18/06/2025,9
1-ALG-1-RN,1ALG 0001  RN,ALTO ALEGRE,POTIGUAR,PETRO-VICTORY,PETRO-VICTORY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 146,Completação,05/08/2025,14/08/2025,10
1-ALV-11-BA,1-ALV-198-A1-BA,CABURÉ LESTE,RECÔNCAVO,ALVOPETRO,ALVOPETRO,TERRA,GREAT - 120,Completação,26/09/2025,01/10/2025,6
1-ALV-6D-BA,1-ALV-183-1-BA,MURUCUTUTU,RECÔNCAVO,ALVOPETRO,ALVOPETRO,TERRA,SPT-PR-15,Completação,29/07/2025,31/07/2025,3
1-ALV-6D-BA,1-ALV-183-1-BA,MURUCUTUTU,RECÔNCAVO,ALVOPETRO,ALVOPETRO,TERRA,SPT-PR-15,Completação,01/02/2026,19/03/2026,47
1-BB-1-PR,1BB  0001  PR,BARRA BONITA,PARANÁ,BARRA BONITA,BARRA BONITA,TERRA,POÇO SEM SONDA,Avaliação,09/02/2025,10/02/2025,2
1-BE-1D-RN,1BE  0001D RN,BOA ESPERANÇA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,27/07/2025,27/07/2025,1
1-BGM-6-ES,1-AJR-1-ES,SURUCUCU,ESPÍRITO SANTO,BGM,BGM,TERRA,COWAN-02,Avaliação,13/06/2025,19/06/2025,7
1-BGM-6-ES,1-AJR-1-ES,SURUCUCU,ESPÍRITO SANTO,BGM,BGM,TERRA,COWAN-02,TLD,25/06/2025,14/07/2025,20
1-BR-1-RN,1BR  0001  RN,BREJINHO RN,POTIGUAR,PETRORECÔNCAVO,POTIGUAR E&P S.A.,TERRA,PR 12,Completação,22/02/2025,25/02/2025,4
1-BRSA-1038-RN,1MU2RN,MAÇARICO,POTIGUAR,PETRORECÔNCAVO,POTIGUAR E&P S.A.,TERRA,PR 23,Completação,06/01/2025,12/01/2025,7
1-BRSA-1146-RJS,1RJS711,ATAPU,SANTOS,PETROBRAS,PETROBRAS,MAR,SSV VICTORIA,Restauração,20/03/2026,31/03/2026,12
1-BRSA-1299D-BA,1SQ1DBA,TANGARÁ,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 159,Restauração,20/04/2025,28/04/2025,9
1-BRSA-12-RN,1ALC4RN,PERIQUITO,POTIGUAR,PHOENIX ÓLEO & GÁS,PHOENIX ÓLEO & GÁS,TERRA,DK-01,Completação,24/07/2025,26/07/2025,3
1-BRSA-12-RN,1ALC4RN,PERIQUITO,POTIGUAR,PHOENIX ÓLEO & GÁS,PHOENIX ÓLEO & GÁS,TERRA,DK-01,Avaliação,07/02/2025,17/03/2025,39
1-BRSA-1304-BA,1FPA1BA,FAZENDA IMBÉ,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 101,Restauração,04/03/2025,10/03/2025,7
1-BRSA-257-RN,1LOG2RN,ACAUÃ,POTIGUAR,MANDACARU ENERGIA,MANDACARU ENERGIA,TERRA,SPT-34,Completação,06/12/2025,10/12/2025,5
1-BRSA-305DP-BA,1SRC2DPBA,TANGARÁ,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 19,Restauração,07/01/2026,21/01/2026,15
1-BRSA-456-RN,1RC5RN,TRINCA FERRO,POTIGUAR,PETRORECÔNCAVO,POTIGUAR E&P S.A.,TERRA,PR 18,Completação,30/01/2025,07/02/2025,9
1-BRSA-470D-BA,1HBV1DBA,GUANAMBI,RECÔNCAVO,3R BAHIA,3R BAHIA,TERRA,SPT-043,Restauração,11/06/2025,16/06/2025,6
1-BRSA-491-SPS,1SPS50,LAPA,SANTOS,TOTALENERGIES EP,TOTALENERGIES EP,MAR,VALARIS RENAISSANCE,Completação,12/01/2025,23/01/2025,12
1-BRSA-513D-AL,1FRO4DAL,ANAMBÉ,ALAGOAS,ORIGEM ALAGOAS,ORIGEM ALAGOAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Completação,14/02/2025,11/03/2025,26
1-BRSA-521-RN,1RPV1RN,IRAÚNA,POTIGUAR,NÍON ENERGIA,NÍON ENERGIA,TERRA,SONDA DE PRODUÇÃO TERRESTE NÍON 01,Restauração,04/05/2025,04/05/2025,1
1-BRSA-521-RN,1RPV1RN,IRAÚNA,POTIGUAR,NÍON ENERGIA,NÍON ENERGIA,TERRA,SONDA DE PRODUÇÃO TERRESTE NÍON 01,Restauração,10/02/2026,12/02/2026,3
1-BRSA-521-RN,1RPV1RN,IRAÚNA,POTIGUAR,NÍON ENERGIA,NÍON ENERGIA,TERRA,SONDA DE PRODUÇÃO TERRESTE NÍON 01,Restauração,02/09/2025,06/09/2025,5
1-BRSA-521-RN,1RPV1RN,IRAÚNA,POTIGUAR,NÍON ENERGIA,NÍON ENERGIA,TERRA,SONDA DE PRODUÇÃO TERRESTE NÍON 01,Restauração,30/07/2025,12/08/2025,14
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,IMETAME_ENERGIA_03,Completação,26/06/2025,26/06/2025,1
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,SONDA ROMENA UPET TW 80,Avaliação,03/08/2025,03/08/2025,1
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,SONDA DE PRODUÇÃO TERRESTRE 153,Completação,05/12/2025,10/12/2025,6
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,IMETAME_ENERGIA_03,Avaliação,27/06/2025,05/07/2025,9
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,IMETAME_ENERGIA_02,Completação,02/11/2025,15/11/2025,14
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,IMETAME_ENERGIA_03,Avaliação,02/08/2025,23/08/2025,22
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,IMETAME_ENERGIA_03,Avaliação,07/09/2025,29/09/2025,23
1-BRSA-63-RN,1RAP5RN,ASA BRANCA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-23 (NOV 4C-4XL),Completação,15/10/2025,27/10/2025,13
1-BRSA-712D-BA,1MRB1DBA,SOCORRO EXTENSÃO,RECÔNCAVO,3R BAHIA,3R BAHIA,TERRA,SONDA DE PRODUÇÃO TERRESTRE 127,Restauração,04/09/2025,11/09/2025,8
1-BRSA-96-RN,1RAP6RN,ASA BRANCA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,PR-15,Restauração,11/06/2025,15/06/2025,5
1-BRSA-96-RN,1RAP6RN,ASA BRANCA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-23 (NOV 4C-4XL),Completação,23/11/2025,27/11/2025,5
1-BRSA-96-RN,1RAP6RN,ASA BRANCA,POTIGUAR,PETRORECÔNCAVO,POTIGUAR E&P S.A.,TERRA,SONDA DE PRODUÇÃO TERRESTRE PR 01,Restauração,26/02/2025,03/03/2025,6
1-CA-2-BA,1CA  0002  BA,CAMAÇARI,RECÔNCAVO,CREATIVE ENERGY,CREATIVE ENERGY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 128,Completação,19/04/2025,26/04/2025,8
1-CAC-1-RN,1CAC 0001  RN,CACHOEIRINHA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,16/06/2025,17/06/2025,2
1-CAC-1-RN,1CAC 0001  RN,CACHOEIRINHA,POTIGUAR,PETRORECÔNCAVO,POTIGUAR E&P S.A.,TERRA,POÇO SEM SONDA,Restauração,11/03/2025,12/03/2025,2
1-CAC-1-RN,1CAC 0001  RN,CACHOEIRINHA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,PR-15,Restauração,19/06/2025,22/06/2025,4
1-CAC-1-RN,1CAC 0001  RN,CACHOEIRINHA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-09 (NOV 4C-4XL),Restauração,14/12/2025,17/12/2025,4
1-CAC-1-RN,1CAC 0001  RN,CACHOEIRINHA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-09 (NOV 4C-4XL),Restauração,29/09/2025,02/10/2025,4
1-CAC-1-RN,1CAC 0001  RN,CACHOEIRINHA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,26/09/2025,06/10/2025,11
1-CAM-1-RN,1CAM 0001  RN,CANTO DO AMARO,POTIGUAR,3R POTIGUAR,3R POTIGUAR,TERRA,SONDA DE PRODUÇÃO TERRESTRE 90,Restauração,12/09/2025,13/09/2025,2
1-EI-1-BA,1EI  0001  BA,IRAÍ,TUCANO SUL,PETROBORN,PETROBORN,TERRA,SONDA DE PRODUÇÃO TERRESTRE 144,Restauração,16/02/2025,20/02/2025,5
1-FC-3-RN,1FC  0003  RN,FAZENDA CURRAL,POTIGUAR,MANDACARU ENERGIA,MANDACARU ENERGIA,TERRA,SPT-34,Completação,21/10/2025,26/10/2025,6
1-FJ-1-RN,1FJ  0001  RN,BREJINHO RN,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,10/10/2025,10/10/2025,1
1-FJ-1-RN,1FJ  0001  RN,BREJINHO RN,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,27/06/2025,27/06/2025,1
1-FO-1-BA,1FO  0001  BA,FAZENDA ONÇA,RECÔNCAVO,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,09/06/2025,10/06/2025,2
1-FPB-3-AL,1FPB 0003  AL,FAZENDA PAU BRASIL,ALAGOAS,PERÍCIA,PETROSYNERGY,TERRA,POÇO SEM SONDA,Restauração,18/06/2025,19/06/2025,2
1-FPB-3-AL,1FPB 0003  AL,FAZENDA PAU BRASIL,ALAGOAS,PERÍCIA,PETROSYNERGY,TERRA,POÇO SEM SONDA,Restauração,24/02/2025,27/02/2025,4
1-GALP-11-SE,ANANDA,RABO BRANCO,SERGIPE,PETROM,PETROM,TERRA,SONDA DE PRODUÇÃO TERRESTRE 59,Completação,23/09/2025,26/09/2025,4
1-GALP-11-SE,ANANDA,RABO BRANCO,SERGIPE,PETROM,PETROM,TERRA,SONDA DE PRODUÇÃO TERRESTRE 131,Completação,25/03/2025,03/04/2025,10
1-GPK-4D-BA,1-PRC-1D-BA,TIRIBA,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Abandono,23/02/2026,23/02/2026,1
1-GPK-4D-BA,1-PRC-1D-BA,TIRIBA,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Completação,22/02/2026,22/02/2026,1
1-GPK-4D-BA,1-PRC-1D-BA,TIRIBA,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Restauração,19/02/2026,21/02/2026,3
1-GPK-4D-BA,1-PRC-1D-BA,TIRIBA,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Restauração,16/07/2025,19/07/2025,4
1-GPK-4D-BA,1-PRC-1D-BA,TIRIBA,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Restauração,26/05/2025,29/05/2025,4
1-GPK-4D-BA,1-PRC-1D-BA,TIRIBA,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Restauração,26/09/2025,29/09/2025,4
1-GPK-4D-BA,1-PRC-1D-BA,TIRIBA,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Restauração,22/01/2025,26/01/2025,5
1-GPK-4D-BA,1-PRC-1D-BA,TIRIBA,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Restauração,25/08/2025,29/08/2025,5
1-GPK-4D-BA,1-PRC-1D-BA,TIRIBA,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Restauração,08/01/2026,13/01/2026,6
1-GPK-4D-BA,1-PRC-1D-BA,TIRIBA,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Restauração,25/03/2025,30/03/2025,6
1-GREN-1D-BA,1-GE-0001-BA,URUBU-REI LESTE,RECÔNCAVO,VULTUR OIL,VULTUR OIL,TERRA,SONDA DE PRODUÇÃO TERRESTRE 144,Avaliação,01/04/2025,06/06/2025,67
1-GREN-1D-BA,1-GE-0001-BA,URUBU-REI LESTE,RECÔNCAVO,VULTUR OIL,VULTUR OIL,TERRA,SONDA DE PRODUÇÃO TERRESTRE 144,TLD,07/06/2025,27/09/2025,113
1-GTE-7H-BA,1GTE7HBA,TIÊ,RECÔNCAVO,SPE TIÊTA,SPE TIÊTA,TERRA,TUCANO 05,Restauração,24/06/2025,28/06/2025,5
1-IMET-1-BA,1ACJ1BA,CARDEAL AMARELO,RECÔNCAVO,RECÔNCAVO ENERG SPE,RECÔNCAVO ENERG SPE,TERRA,IMETAME_ENERGIA_02,Completação,11/12/2025,25/12/2025,15
1-IMET-27-ES,1-VID-1-ES,ÁGUIA REAL,ESPÍRITO SANTO,CAPIXABA ENERGIA,CAPIXABA ENERGIA,TERRA,SONDA DE PRODUÇÃO TERRESTRE 153,Completação,31/07/2025,04/08/2025,5
1-IMET-2-BA,1CAR1BA,CARDEAL AMARELO,RECÔNCAVO,RECÔNCAVO ENERG SPE,RECÔNCAVO ENERG SPE,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Completação,27/04/2025,03/05/2025,7
1-IMET-2-BA,1CAR1BA,CARDEAL AMARELO,RECÔNCAVO,RECÔNCAVO ENERG SPE,RECÔNCAVO ENERG SPE,TERRA,IMETAME_ENERGIA_02,Completação,27/12/2025,27/02/2026,63
1-JA-1-AL,1JA  0001  AL,JEQUIÁ,ALAGOAS,PETROSYNERGY,PETROSYNERGY,TERRA,POÇO SEM SONDA,Restauração,26/03/2025,31/03/2025,6
1-JA-1-AL,1JA  0001  AL,JEQUIÁ,ALAGOAS,PETROSYNERGY,PETROSYNERGY,TERRA,POÇO SEM SONDA,Avaliação,16/06/2025,22/06/2025,7
1-JZ-2-RN,1JZ  0002  RN,JUAZEIRO,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,15/01/2026,15/01/2026,1
1-JZ-2-RN,1JZ  0002  RN,JUAZEIRO,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,20/10/2025,21/10/2025,2
1-JZ-2-RN,1JZ  0002  RN,JUAZEIRO,POTIGUAR,PETRORECÔNCAVO,POTIGUAR E&P S.A.,TERRA,SONDA DE PRODUÇÃO TERRESTRE PR 01,Restauração,21/02/2025,25/02/2025,5
1-JZ-2-RN,1JZ  0002  RN,JUAZEIRO,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-09 (NOV 4C-4XL),Restauração,16/01/2026,25/01/2026,10
1-JZ-2-RN,1JZ  0002  RN,JUAZEIRO,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-23 (NOV 4C-4XL),Completação,20/08/2025,30/08/2025,11
1-LA-2-RN,1LA  0002  RN,CANTO DO AMARO,POTIGUAR,3R POTIGUAR,3R POTIGUAR,TERRA,ETIC-01,Restauração,16/04/2025,16/04/2025,1
1-LI-1-SE,1LI  0001  SE,RIACHUELO,SERGIPE,CARMO,CARMO,TERRA,SONDA DE PRODUCAO TERRESTRE 228,Restauração,12/06/2025,12/06/2025,1
1-LI-1-SE,1LI  0001  SE,RIACHUELO,SERGIPE,CARMO,CARMO,TERRA,SPT-059,Restauração,30/06/2025,03/07/2025,4
1-LM-1-BA,1LM  0001  BA,MASSAPÊ,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 110,Restauração,07/08/2025,11/08/2025,5
1-LOR-1-RN,1LOR 0001  RN,LORENA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-08 (NOV 4C-4XL),Completação,03/12/2025,15/12/2025,13
1-LP-1-BA,1LP  0001  BA,LAGOA DO PAULO,RECÔNCAVO,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-19 (NOV 4C-4XL),Restauração,30/12/2025,01/01/2026,3
1-LPX-1D-RN,1LPX 0001D RN,LESTE DE POÇO XAVIER,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,05/07/2025,05/07/2025,1
1-LPX-1D-RN,1LPX 0001D RN,LESTE DE POÇO XAVIER,POTIGUAR,PETRORECÔNCAVO,POTIGUAR E&P S.A.,TERRA,POÇO SEM SONDA,Restauração,04/01/2025,04/01/2025,1
1-LPX-1D-RN,1LPX 0001D RN,LESTE DE POÇO XAVIER,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,PR 09,Completação,20/06/2025,22/06/2025,3
1-LUC-1-AM,1LUC 0001  AM,LESTE DO URUCU,SOLIMÕES,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE JP-25,Restauração,21/01/2025,16/02/2025,27
1-LV-2-RN,1LV  0002  RN,LIVRAMENTO,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-23 (NOV 4C-4XL),Completação,06/01/2026,08/01/2026,3
1-LV-2-RN,1LV  0002  RN,LIVRAMENTO,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-03 (FALCON SR-400),Completação,12/03/2026,15/03/2026,4
1-LV-2-RN,1LV  0002  RN,LIVRAMENTO,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-01 (NOV 4C-4XL),Completação,26/02/2026,04/03/2026,7
1-MA-5-RN,1MA  0005  RN,MACAU,POTIGUAR,3R POTIGUAR,3R RNCE,TERRA,SONDA DE PRODUÇÃO TERRESTRE 52,Restauração,18/02/2025,21/02/2025,4
1-MA-5-RN,1MA  0005  RN,MACAU,POTIGUAR,3R POTIGUAR,3R RNCE,TERRA,SONDA DE PRODUÇÃO TERRESTRE 113,Restauração,28/02/2025,09/03/2025,10
1-MG-1-BA,1MG  0001  BA,MIRANGA,RECÔNCAVO,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-16 (NOV 6XL-6C),Abandono,06/12/2025,12/12/2025,7
1-ML-1-BA,1ML  0001  BA,MALOMBÊ,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 85,Abandono,24/09/2025,03/10/2025,10
1-MM-1-BA,1MM  0001  BA,RIO DO BU,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 155,Restauração,01/03/2025,06/03/2025,6
1-MM-1-BA,1MM  0001  BA,RIO DO BU,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,UNIDADE SIMPLIFICADA DE INTERVENÇÃO 72,Restauração,10/03/2026,15/03/2026,6
1-MPE-1-BA,1MPE1BA,UIRAPURU,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,POÇO SEM SONDA,Restauração,16/07/2025,16/07/2025,1
1-MPE-1-BA,1MPE1BA,UIRAPURU,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Restauração,30/07/2025,05/08/2025,7
1-OA-1-SE,1OA  0001  SE,MATO GROSSO,SERGIPE,CARMO,CARMO,TERRA,SONDA DE PRODUÇÃO TERRESTRE 58,Abandono,06/06/2025,15/06/2025,10
1-PJ-1-RN,1PJ  0001  RN,PAJEÚ,POTIGUAR,MANDACARU ENERGIA,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,10/07/2025,10/07/2025,1
1-PL-1-BA,1PL  0001  BA,ÁGUA GRANDE,RECÔNCAVO,3R BAHIA,3R BAHIA,TERRA,SPT-043,Abandono,03/05/2025,06/05/2025,4
1-PL-1-BA,1PL  0001  BA,ÁGUA GRANDE,RECÔNCAVO,3R BAHIA,3R BAHIA,TERRA,SPT-043,Restauração,10/01/2025,16/01/2025,7
1-PL-1-RN,1PL  0001  RN,FAZENDA POCINHO,POTIGUAR,3R POTIGUAR,3R POTIGUAR,TERRA,ETIC-01,Restauração,12/05/2025,12/05/2025,1
1-PSY-18-BA,1PSY18BALOC-3,TROVOADA,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Restauração,29/08/2025,29/08/2025,1
1-PSY-18-BA,1PSY18BALOC-3,TROVOADA,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Restauração,22/08/2025,23/08/2025,2
1-PSY-18-BA,1PSY18BALOC-3,TROVOADA,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Restauração,01/10/2025,04/10/2025,4
1-PSY-18-BA,1PSY18BALOC-3,TROVOADA,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Restauração,16/06/2025,19/06/2025,4
1-PSY-18-BA,1PSY18BALOC-3,TROVOADA,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Restauração,10/02/2026,14/02/2026,5
1-PSY-18-BA,1PSY18BALOC-3,TROVOADA,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Restauração,10/11/2025,14/11/2025,5
1-PSY-18-BA,1PSY18BALOC-3,TROVOADA,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,POÇO SEM SONDA,Restauração,02/04/2025,07/04/2025,6
1-PSY-18-BA,1PSY18BALOC-3,TROVOADA,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Restauração,15/01/2026,20/01/2026,6
1-PSY-18-BA,1PSY18BALOC-3,TROVOADA,RECÔNCAVO,PETROSYNERGY,PETROSYNERGY,TERRA,POÇO SEM SONDA,Restauração,03/03/2026,11/03/2026,9
1-PSY-4-RN,1PSY4RN,ARAÇARI,POTIGUAR,PETROSYNERGY,PETROSYNERGY,TERRA,DK-01,Completação,19/03/2025,19/03/2025,1
1-PSY-4-RN,1PSY4RN,ARAÇARI,POTIGUAR,PETROSYNERGY,PETROSYNERGY,TERRA,DK-01,Restauração,20/03/2025,27/03/2025,8
1-PTX-11-RN,1PTX11RN,CARDEAL,POTIGUAR,MANDACARU ENERGIA,MANDACARU ENERGIA,TERRA,SPT-34,Avaliação,27/03/2025,29/03/2025,3
1-PTX-19-RN,POT-T-514-P-02,CARDEAL,POTIGUAR,MANDACARU ENERGIA,MANDACARU ENERGIA,TERRA,SPT-34,Completação,28/03/2026,31/03/2026,4
1-PTX-19-RN,POT-T-514-P-02,CARDEAL,POTIGUAR,MANDACARU ENERGIA,MANDACARU ENERGIA,TERRA,SPT-34,Avaliação,07/04/2025,11/04/2025,5
1-PV-1-BA,1PV  0001  BA,PARAMIRIM DO VENCIMENTO,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Completação,03/09/2025,05/09/2025,3
1-PV-1-BA,1PV  0001  BA,PARAMIRIM DO VENCIMENTO,RECÔNCAVO,SLIM DRILLING,SLIM DRILLING,TERRA,SONDA DE PRODUÇÃO TERRESTRE 55,Completação,22/04/2025,30/04/2025,9
1-QX-1-RN,1QX  0001  RN,TRAPIÁ,POTIGUAR,PETRO-VICTORY,PETRO-VICTORY,TERRA,SPT-PR-12 (SPT-138 - IDECO CAR880),Restauração,18/12/2025,22/12/2025,5
1-QX-1-RN,1QX  0001  RN,TRAPIÁ,POTIGUAR,PETRO-VICTORY,PETRO-VICTORY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 146,Avaliação,18/11/2025,23/11/2025,6
1-RAP-4-RN,1RAP 0004  RN,LESTE DE POÇO XAVIER,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,SPT-PR-03 (FALCON SR-400),Completação,28/03/2026,31/03/2026,4
1-RBU-2-BA,1RBU 0002  BA,RIO DO BU,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 101,Restauração,01/07/2025,08/07/2025,8
1-RBU-2-BA,1RBU 0002  BA,RIO DO BU,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 19,Restauração,27/10/2025,13/12/2025,48
1-RJS-422-RJS,1RJS 0422  RJ,ESPADARTE,CAMPOS,PETROBRAS,PETROBRAS,MAR,SIEM HELIX 2,Abandono,04/03/2025,17/03/2025,14
1-RJS-54-RJ,1RJS 0054  RJ,CORVINA,CAMPOS,PETROBRAS,PETROBRAS,MAR,NAN HAI BA HAO (NANHAI 8),Abandono,27/11/2025,02/02/2026,68
1-RNS-43-RN,1RNS 0043  RN,MACAU,POTIGUAR,3R POTIGUAR,3R RNCE,MAR,LA BONITONA BR01,Abandono,09/01/2025,09/01/2025,1
1-RNS-43-RN,1RNS 0043  RN,MACAU,POTIGUAR,3R POTIGUAR,3R RNCE,MAR,SONDA DE PRODUÇÃO HIDRÁULICA 04,Abandono,07/01/2025,21/01/2025,15
1-RP-3-RN,1RP  0003  RN,ESTREITO,POTIGUAR,3R POTIGUAR,3R POTIGUAR,TERRA,SONDA DE PRODUÇÃO TERRESTRE 90,Abandono,06/11/2025,08/11/2025,3
1-RPP-1-BA,1RPP 0001  BA,BIRIBA,RECÔNCAVO,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,PR 17,Restauração,01/06/2025,12/06/2025,12
